,Tweet,Sentiment
0,@HRH_William_ oye- where's the twinks that give prince charles his happy time!?,1
1,RT @scobie: There was a moment earlier this year where Andrew truly believed he was building the path towards a comeback. But while King Ch…,1
2,Interesting parts about how PC really trusted Michael Fawcett and his word was the final at CH. His promotion to The Prince’a trust CEO even after multiple instances of bullying and financial mismanagement. 👀 and How Charles felt sadness about Fawcett’s fall from grace in 2021.,1
3,"RT @VanessaBeeley: Prince Charles in #Pristina #Kosovo 1999, when #AlQaeda #Albania warlords were cross-border organ trafficking. Also at s…",0
4,RT @TrafficwatchNI: #Newtownabbey/#Glengormley - Reports of screws/nails on the carriageway at the top of Prince Charles Way on approach to…,1
5,@Cathy1691 Bob Irwin is Australia’s Prince William if Charles was ironically cool. https://t.co/OZjxO1ZkRs,1
6,All my 'prince charles' notes are improperly tagged now https://t.co/yFetUtLU7A,0
7,@BaconatorUK @Daily_Express Definitely. I felt so bad looking at all the mummies in the British Museum of History. I was like “that’s someone’s dad.” We wouldn’t put Prince Charles’ skeleton up for display like that.,1
8,Prince Charles (now King) is known to have quite a temper and would have a go at his staff quite often.,-1
9,"King Charles set to gift Prince William and Kate Middleton 2 more homes https://t.co/vY6L9NmFca What rubbish! What do these people actually do for a living? Live off the taxpayers, that's what. And the mindless Brits think this is just fine.",1
10,RT @KaylaAdams___: 8/ Clarence House courtiers were very formal with Prince Charles whereas William and Harry’s team were more relaxed. The…,1
11,"RT @ticohousework: @dailycosmicnews Because Jesus will knock them down, and Prince Charles will lose his Royal Crown,  and the Monarchy wil…",-1
12,RT @tomypannetier1: https://t.co/s6fF5Ffl2m,0
13,"Princess Diana just met Prince Charles side chick, on The Crown, and let me tell you how I would’ve flung mousse at that lady head",0
14,#Newtownabbey/#Glengormley - Reports of screws/nails on the carriageway at the top of Prince Charles Way on approach to the roundabout - extra care needed until we can have a crew attend (05:33),1
15,"RT @EtienneMallarme: @PeeDubb2 @AwkwardGirlLA It's what prince charles wanted to be: a tampon, so that he could remain in cowmilla's vagina…",0
16,Is it true that Prince Harry is doing  Dna test too see if Charles is he’s real father ?  My dad something about it yesterday surly not #princeharry,1
17,"@dailycosmicnews Because Jesus will knock them down, and Prince Charles will lose his Royal Crown,  and the Monarchy will fall down down to the ground! No more Principalities and Kings and Queens.
Because God is King of all Kings!
And all of will see the truth  to these dark wicked Golbalesist.",-1
18,"RT @KaylaAdams___: 2/ The story about courtiers squeezing toothpaste onto Prince Charles’ toothbrush: If it did happen, it was only because…",0
19,"RT @KaylaAdams___: 1/ In 2014, Courtiers of The Queen planned on bringing the press offices of BP, CH and KP under one roof to be called “R…",0
20,"RT @saadsalman719: #RoyalFlashback | Princess Margaret joined the Queen, Prince Charles, Princess Anne as they depart Euston Station for Bu…",0
21,"admiro Eva Peron, pero detesto Prince Charles",0
22,"@FordPrefect4222 Or should I follow the money like this? 

https://t.co/s8rZTG35KN",1
23,"@dailycosmicnews The truth is coming about the Lumintati and Free Masons. 
The Globalist World Economic Forum are all in it. Rothschild controls most all the banks, the Royals money, and they control Prince Charles 111, who is also, involved in the Rest for the One World Government.",1
24,"@SoftBeanMillie The prince looks at the imp confused but also blushing a bit

“Uh hey so I’m Charles Morningstar and uh does that shirt affect me as well Heheh I’m sorry that’s a bad joke I was hoping I could talk to someone about renting a room at my hotel-?”",0
25,RT @Mac2Morgan: Why is this not more of a story? New king of England taking money from the Bin Laden family. #KingCharlesIII #KingCharlesTh…,0
26,@Ginger_Dalek They use RSS feeds from popular news sites on the app Smart News. | https://t.co/nEauwK9hsI,1
27,"RT @jomilleweb: Two things the Prince and Princess of Wales have in common with His Majesty The King.

King Charles III is an accomplished…",1
28,"@ajitdatta What is common between Prince Charles and Prince Rahul? One  became King and the other is PM in waiting,in spite of lack of common sense.",-1
29,"@Kathy202424 @YouTube It comes as Netflix confirmed season five of 'The Crown' would not be delayed following Her Majesty's death and would premier on November 9 as planned. The latest series will focus on the breakdown of the marriage of the then Prince Charles and Diana, Princess of Wales.",-1
30,"@HRHPWales PRINCESS of Wales is not only beautiful, classy but is a GREAT MUM and WIFE. I wish  King Charles would step down and relax, let Prince William and Princess Katherine run the Monarch. King Charles could definately guide Him but the People could relate to Family. Charlotte amazing",1
31,RT @princessannehrh: 👑 Princess Anne and Prince Charles watch the Coronation procession with their nannies from a window of Buckingham Pala…,0
32,RT @princessannehrh: Prince Charles and Princess Anne watching rehearsals for Trooping the Colour in June 1953. Two-year-old Anne is appare…,0
33,RT @princessannehrh: Prince Charles adjusts the plume on his sister Princess Anne’s hat at The Order of the Garter Service at Windsor Castl…,0
34,RT @scobie: A new photograph of King Charles has been released. The image—taken by @VictoriaJonesPA in the Eighteenth Century Room at Bucki…,0
35,RT @scobie: No delays. @Netflix have announced they will go ahead with #TheCrown’s season five release on its original scheduled date: Nove…,1
36,RT @scobie: Britain’s economic turmoil is a reminder that royals must permanently rein in the extravagance. With King Charles paring back h…,-1
37,"En-pedian top-15:

Elizabeth II
Jeffrey Dahmer
Charles III
George VI
Cleopatra
Brahmāstra: Part One – Shiva
Prince Philip
Diana, Princess
Christopher Scarver
House of the Dragon
The Lord of the Rings: The Rings of Power
Princess Margaret
Edward VIII
Anne, Princess
Liz Truss",0
38,"Charles was very intent to use his years as Prince of Wales to make his mark while he still had freedom of maneuver that he wouldn't have as King. The first subject he really went for was architecture. It made an impact. 

- Anthony Holden https://t.co/VsMBcEfhCE",1
39,"@Catherine_R67 @DeeHami95258070 @ActuaryBeth @ChicDelights8 @LouLouLa10 Actually until Andrew was born, she was the spare. The order of birth for Queen Elizabeth’s children are: King Charles III, Princess Anne, Prince Andrew, Prince Edward.",0
40,@NARAYANRAO12 @fzas @culturaltutor You mean the artist previously known as prince charles?,0
41,"RT @AP_Climate: Prince William delivered his first speech as heir to the British throne at a wildlife protection summit, signaling that the…",0
42,"RT @Oldlady12345: Prince Charles ‘overjoyed’ about royal baby news
https://t.co/W4V1pnEcOl",1
43,"موش بالساهل باش يصبح ملكا 
https://t.co/3stewX9re9",0
44,RT @WindsorDynasty: Princess Anne &amp; Prince Charles at Buckingham Palace 👑 https://t.co/cu79uEkZ3o,0
45,"@katienicholl just saw some of your new So called book how low
I hope it wind's up in the £1 section in No time Why don't U shut up about King Charles
Queen Consort Camilla &amp; The Prince &amp; Princess of Wales We All Know
U're the Harkles
Mouthpiece",1
46,"RT @ITNArchive: Happy #JamesBondDay! In December 1986, Prince Charles, Prince of Wales and Diana, Princess of Wales dropped by the set of ""…",1
47,"Exactly 👍 same with WEF puppet govts in US &amp; Europe.. 
Facilitating confiscation of trillions globally fr taxpayers 
covid relief $ &amp; fake climate change $$ 

Prince Charles mos ago (now King) 

""We need trillions"" 
""Climate change crisis ' https://t.co/BeZmuNXu8s",-1
48,@yorkiebea I can see the look on Charles face has changed from somber while Prince to serious as King in a picture of him and William in uniform. Even if you become just a Lady in England waiting for her Knight your are still the wife of the Tsar and soon to be Tsarina if you wamt that.,-1
49,"RT @janelle12th: @OprahDaily @OprahDaily  Princess of Wales was Diana's title when she was married to Prince Charles, after the divorce Cam…",0
50,"RT @judithin77: Prince Charles and Princess Anne at Heathrow Airport waiting for their flight to Balmoral in May 1973

📸Almay https://t.co/…",0
51,RT @WindsorDynasty: Prince Charles and Princess Anne on their way to the House of Lords in London for the state opening of parliament - 196…,0
52,King Charles set to gift Prince William and Kate Middleton 2 more homes – National https://t.co/dPyXesDXQp,1
